"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"8180384",0.0254182337259888,6.14844025014057,1.25000979146748,0.212225372003062,0.330909565995057,-6.45368436054449
"7893092",-0.0632826113237369,3.65975176442492,-1.25000110039802,0.21222854256613,0.330909565995057,-6.45369514918755
"8163424",0.0465071606906779,5.17554894275719,1.24995673359946,0.21224472842106,0.330919307091029,-6.45375022267405
"8114136",-0.0168233870704136,2.28555348494888,-1.24971388853726,0.212333338810288,0.331041961996824,-6.45405163732235
"8102998",-0.0238431458247342,2.5478314283099,-1.24965878901216,0.212353447507518,0.331043740765658,-6.45412001772899
"7895268",0.0341518843568044,2.14364630133546,1.24965627776123,0.2123543640272,0.331043740765658,-6.45412313420669
"8007212",0.0427454390291207,5.88734322635144,1.24946825705868,0.212422993231773,0.331120847611432,-6.45435645143205
"8043020",-0.0162879235129196,2.19077433325559,-1.24944401680967,0.212431842306461,0.331120847611432,-6.45438652892869
"8154529",0.0170477534005898,2.26213834217252,1.24943904019321,0.212433659088669,0.331120847611432,-6.45439270388307
"8026875",-0.0486605773801924,8.40014278184026,-1.2494053002776,0.212445976605779,0.331124546320397,-6.4544345675159
"8064928",0.0186211135887754,2.74921303307029,1.24929191903032,0.212487372784745,0.331173565419101,-6.45457523989586
"8148548",0.0237703325087658,4.69013958563898,1.24919258490749,0.212523645084346,0.331197857269385,-6.45469847358781
"8029536",-0.0562928356493021,4.13012943715335,-1.24917252906941,0.212530969108568,0.331197857269385,-6.45472335363876
"8165690",-0.0113112300523431,12.9129870300639,-1.24916751758485,0.212532799239419,0.331197857269385,-6.4547295705195
"8003635",-0.0929196976985286,4.81755939304792,-1.24883963828064,0.212652561471797,0.331368978815351,-6.4551362599118
"7981714",0.0550073463913675,4.64921087908946,1.24875174629952,0.212684673496265,0.331403508512571,-6.45524525991749
"8052594",0.0224793945054417,3.33592734295208,1.24858513268338,0.212745556744119,0.331482863963918,-6.45545186639766
"8122818",0.0449203240485631,6.5021131965016,1.24853512616075,0.212763832384599,0.33149582737869,-6.4555138708399
"7895994",0.0295993288953967,11.4434586287859,1.24829648657829,0.212851062520047,0.331616218825098,-6.45580973265981
"8154765",0.0419821898293449,6.5512980268147,1.24818996332486,0.212890008432792,0.331661377007752,-6.45594178053585
"8165064",-0.0406519546853602,7.75349085301278,-1.24815216425128,0.212903829375566,0.331667390601582,-6.4559886341714
"7894135",-0.0275905453472499,10.0714198833546,-1.24804381451096,0.21294345023835,0.331700354549678,-6.45612293071626
"8014233",0.0474103213726731,7.44522687678594,1.24803981375139,0.212944913321138,0.331700354549678,-6.45612788932755
"8061112",0.0247135424300848,3.60802926431629,1.24797951343607,0.212966966105299,0.331719187463543,-6.45620262468519
"8125483",0.0397793822532403,6.33149525808946,1.24771622361845,0.213063274787701,0.331853674834226,-6.45652890047423
"8170476",0.0218195962723496,3.77513575290415,1.24768848395442,0.213073423508141,0.331853958676765,-6.45656327223938
"7985493",-0.0563740498535232,5.89443062866134,-1.24735601099637,0.213195087997182,0.332027916045003,-6.45697517518001
"8045347",-0.0726483001262878,4.99636796380192,-1.24730658170474,0.213213180354677,0.332040562474613,-6.4570364041748
"8137042",0.0215589818479147,2.49230498598722,1.24723558678573,0.213239168219635,0.332065502956186,-6.45712434271535
"7893069",0.048886747479146,5.8601104056262,1.24710974789138,0.213285237501461,0.332109579836994,-6.45728020209689
"8109315",0.0416153108040047,4.54453005771885,1.24710378427145,0.21328742094586,0.332109579836994,-6.45728758802864
"7948973",-0.0672945904508554,5.38524773589457,-1.24694252391774,0.213346468918583,0.332185989038206,-6.45748729540715
"8123246",0.0663338519282984,4.90603947417252,1.24661422487489,0.21346671732288,0.332357677298229,-6.45789378712925
"8139727",0.0206477641402044,3.19313123991054,1.24647324394612,0.213518370481903,0.332405768966808,-6.4580683136875
"7893180",0.0606886460368055,4.80578159407987,1.24646833364688,0.213520169700366,0.332405768966808,-6.45807439201302
"7895261",-0.075639349897474,3.79575629861342,-1.24644817905085,0.213527554807672,0.332405768966808,-6.45809934058932
"7978285",0.0429879729250161,7.52855997646326,1.246324041476,0.213573045752229,0.332461042749508,-6.45825299677101
"8071649",0.0297164591878521,8.75989252099042,1.24596191816761,0.213705788114275,0.332652125980133,-6.45870114261304
"7896705",0.0871808427585572,4.86783459554313,1.24589649307368,0.213729777155807,0.332673915012944,-6.45878209571101
"7895052",0.0286714125909358,9.7970321680607,1.24537158458407,0.213922312984276,0.332958035592831,-6.45943143373142
"8176921",0.0307878918055418,5.09463635813418,1.24530598429187,0.213946383930304,0.332964372317239,-6.45951256552404
"8177424",0.0307878918055418,5.09463635813418,1.24530598429187,0.213946383930304,0.332964372317239,-6.45951256552404
"8017825",0.0386139367274011,3.56142055258147,1.24527734480317,0.213956893334248,0.332965165327653,-6.45954798436031
"7959282",0.0385695113343719,7.29428054459744,1.24508181484389,0.214028654030662,0.33306127463004,-6.45978977730907
"7893053",0.0512645028424723,3.55736600190735,1.24499869767631,0.21405916382478,0.333093185245056,-6.45989254886706
"7986563",0.0199345431713194,2.55241451298722,1.24490199482644,0.214094664477998,0.33312836553041,-6.46001211011069
"7902721",0.0230475139540544,3.32861005964856,1.24488260933686,0.214101781612481,0.33312836553041,-6.46003607679055
"8127425",-0.0363880309521021,8.05331951500959,-1.24478798278387,0.214136525001965,0.333156256938487,-6.46015306024186
"7896505",0.0574975708678547,3.33193806477316,1.24477928524526,0.214139718623225,0.333156256938487,-6.46016381225857
"7896592",-0.0509285235565387,5.94820629296805,-1.24438086962808,0.214286048579765,0.333368338997357,-6.46065625936745
